,semiangle_cutoff,defocus,energy,max_iter,step_size,identical_slices_iter,slice_thicknesses,num_slices,NMSE
0,28.9,196.0,132000.0,9.0,0.75,59.0,12.0,26.0,0.53182053565979
1,9.4,197.0,19000.0,12.0,0.65,128.0,6.5,77.0,0.546130359172821
2,28.9,37.0,292000.0,14.0,0.94,232.0,22.7,53.0,0.646335244178772
3,29.1,91.0,212000.0,1.0,0.18,301.0,10.8,62.0,0.8616907000541687
4,20.3,186.0,252000.0,16.0,0.79,387.0,29.0,100.0,0.5972884893417358
5,9.5,11.0,282000.0,5.0,0.4,190.0,6.1,6.0,0.5543844103813171
6,20.6,21.0,219000.0,7.0,0.51,136.0,17.8,72.0,0.47363826632499695
7,13.5,135.0,274000.0,14.0,0.75,102.0,39.2,59.0,0.7533538341522217
8,8.8,165.0,11000.0,13.0,0.68,159.0,4.2,40.0,0.5669617056846619
9,7.2,193.0,267000.0,11.0,0.2,400.0,36.4,44.0,0.8816115260124207
10,15.7,43.0,230000.0,11.0,0.54,412.0,34.5,85.0,0.5841002464294434
11,1.9,82.0,107000.0,15.0,0.95,131.0,22.1,91.0,1.0
12,25.1,114.0,69000.0,12.0,0.68,368.0,10.7,78.0,0.5707562565803528
13,26.8,130.0,249000.0,12.0,0.56,161.0,7.8,77.0,0.617304265499115
14,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625168085098267
15,2.7,62.0,215000.0,7.0,0.19,411.0,18.8,89.0,0.9409030675888062
16,21.0,65.0,210000.0,11.0,0.96,55.0,25.5,43.0,0.5038450360298157
17,3.6,64.0,113000.0,9.0,0.69,374.0,4.5,73.0,0.631497859954834
18,11.8,113.0,152000.0,14.0,0.21,77.0,30.6,31.0,0.5745193958282471
19,1.2,86.0,135000.0,19.0,0.99,358.0,46.8,32.0,0.7358629703521729
